Padding,Elapsed time
1,4.59
2,4.42
3,4.48
4,4.44
5,4.73
6,4.42
7,4.65
8,4.84
9,4.78
10,4.46
11,4.50
12,4.58
13,4.47
14,3.82
15,4.27
16,4.37
17,3.81
18,3.82
19,3.86
20,4.23
21,4.08
22,3.71
23,4.24
24,3.70
25,3.87
26,1.88
27,3.65
28,3.70
29,1.89
30,1.88
31,3.91
32,3.48
33,1.86
34,3.91
35,2.02
36,3.61
37,3.01
38,3.71
39,2.98
40,3.77
41,3.75
42,3.45
43,3.59
44,2.14
45,3.67
46,3.70
47,3.61
48,3.57
49,3.04
50,3.10
51,3.68
52,3.32
53,4.67
54,4.18
55,4.68
56,1.41
57,1.41
58,1.40
59,1.41
60,1.41
61,1.41
62,1.41
63,1.42
64,1.40
65,1.41
66,1.41
67,1.42
68,1.46
69,1.41
70,1.42
71,1.42
72,1.42
73,1.44
74,1.41
75,1.41
76,1.48
77,1.45
78,1.41
79,1.40
80,1.41
81,1.42
82,1.42
83,1.43
84,1.41
85,1.44
86,1.43
87,1.44
88,1.41
89,1.41
90,1.42
91,1.41
92,1.41
93,1.43
94,1.42
95,1.42
96,1.42
97,1.48
98,1.42
99,1.41
100,1.41
